Name,Years,Position,Party,State,Congress,Link
"ADAMS, George Madison",1837-1920,Representative,Democrat,KY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000035
"ALBERT, William Julian",1816-1879,Representative,Republican,MD,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000074
"ALBRIGHT, Charles",1830-1880,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000077
"ALCORN, James Lusk",1816-1894,Senator,Republican,MS,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000079
"ALLISON, William Boyd",1829-1908,Senator,Republican,IA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000160
"AMES, Adelbert",1835-1933,Senator,Republican,MS,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000172
"ANTHONY, Henry Bowen",1815-1884,Senator,Republican,RI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000262
"ARCHER, Stevenson",1827-1898,Representative,Democrat,MD,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000274
"ARMSTRONG, Moses Kimball",1832-1906,Delegate,Democrat,DK,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000283
"ARTHUR, William Evans",1825-1897,Representative,Democrat,KY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000304
"ASHE, Thomas Samuel",1812-1887,Representative,Democrat,NC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000309
"ATKINS, John DeWitt Clinton",1825-1908,Representative,Democrat,TN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000327
"AVERILL, John Thomas",1825-1889,Representative,Republican,MN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000344
"BANNING, Henry Blackstone",1836-1881,Representative,Democrat,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000117
"BARBER, Joel Allen",1809-1881,Representative,Republican,WI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000122
"BARNUM, William Henry",1818-1889,Representative,Democrat,CT,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000166
"BARRERE, Granville",1829-1889,Representative,Republican,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000173
"BARRY, Henry W.",1840-1875,Representative,Republican,MS,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000189
"BASS, Lyman Kidder",1836-1889,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000221
"BAYARD, Thomas Francis, Sr.",1828-1898,Senator,Democrat,DE,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000253
"BECK, James Burnie",1822-1890,Representative,Democrat,KY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000289
"BEGOLE, Josiah Williams",1815-1896,Representative,Republican,MI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000316
"BELL, Hiram Parks",1827-1907,Representative,Democrat,GA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000336
"BERRY, John",1833-1879,Representative,Democrat,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000419
"BIERY, James Soloman",1839-1904,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000450
"BLAINE, James Gillespie",1830-1893,Speaker of the House,Republican,US,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000519
"BLAND, Richard Parks",1835-1899,Representative,Democrat,MO,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000544
"BLOUNT, James Henderson",1837-1903,Representative,Democrat,GA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000568
"BOGY, Lewis Vital",1813-1877,Senator,Democrat,MO,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000595
"BOREMAN, Arthur Inghram",1823-1896,Senator,Republican,WV,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000638
"BOUTWELL, George Sewel",1818-1905,Senator,Republican,MA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000674
"BOWEN, Rees Tate",1809-1879,Representative,Democrat,VA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000685
"BRADLEY, Nathan Ball",1831-1906,Representative,Republican,MI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000744
"BRIGHT, John Morgan",1817-1911,Representative,Democrat,TN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000836
"BROMBERG, Frederick George",1837-1930,Representative,Liberal Republican,AL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000864
"BROOKS, James",1810-1873,Representative,Democrat,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000881
